file,timestamp_utc,backend,job_id,mode,curve_index,order_n,moduli,horizon,shots,qft_approx,winning_relation,recovered_d,verified_dG_equals_Q,depth,two_qubit_gates,one_qubit_gates,width_qubits
run_curve0_1024.json,2025-11-08T03:23:22.994091Z,ibm_torino,d47bf655mhvc73f7qu0g,shor,0,7,"[32, 5]",1,1024,1,(+) r - s·d ≡ 0  | d =  r s^{-1},6,True,45390,20191,22148,133
run_curve1_2048.json,2025-11-08T00:30:40.217175Z,ibm_torino,d478s5vbjc5s73d4k1s0,shor,1,31,"[32, 7]",1,2048,1,(-) s + r·d ≡ 0  | d = -s r^{-1},18,True,1041942,542774,629235,133
